Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,Chassis Angle,Chassis Heave
0.118396285,0.505256576,223.0190445,1.908888045,1.272365389,52.67868439,83.76540898,-4.132978583,-53.07752636,-32.92103958,12.18423734,-3428.205177,2036.971966,52.74161811,31.33803024,0.964478238,0.64287098,-191.135819,0.000643204,6.433444537,4.080627385,0.646874086,53.71941339,0.976757896,53.00671031,85.00710587,31.60709059,-1.8131,-0.25
0.118835177,0.505238039,223.1206605,1.917684142,1.27978592,52.98396975,84.33857132,-4.341495062,-53.33552748,-32.3098513,12.03369244,-3478.693319,2023.897507,53.51835876,31.13688473,0.968886975,0.646596529,-189.8991707,0.006993201,6.439794537,4.086977385,0.648702733,54.42034137,0.981182433,53.15655813,85.31475388,31.21504318,-1.8131,0
0.118990713,0.50507019,223.7078273,1.935913262,1.289614942,53.37315894,84.70812942,-3.983742475,-54.08440689,-31.75717823,11.86777625,-3549.978538,1976.70963,54.61505443,30.41091739,0.977772078,0.651346063,-189.2181428,0.013343199,6.446144537,4.093327385,0.651851484,55.39893835,0.989659986,53.41457456,85.83207235,30.75581797,-1.8131,0.25
0.12178098,0.505277163,226.1005581,1.966226515,1.293923954,53.57343984,85.74444582,-3.722887573,-54.49040665,-31.68525295,11.89728703,-3615.655455,1978.687854,55.62546853,30.4413516,0.993489356,0.653790225,-188.4980881,0.019693197,6.452494537,4.099677385,0.654682919,56.32223044,1.003760327,53.6465897,86.76983603,30.77432205,-1.8131,0.5
0.120977492,0.505175594,222.5300434,2.017068704,1.297294544,53.70219923,87.63415149,-3.531044093,-55.00883171,-31.14501696,12.0244678,-3730.074034,1987.632593,57.38575437,30.57896296,1.01897388,0.655361542,-187.7007722,0.032393192,6.465194537,4.112377385,0.657359995,57.84484035,1.022659498,53.86595823,87.59198081,30.07733335,-1.8131,0.75
0.118512142,0.506378937,217.4156153,1.990415446,1.267143934,52.57904456,87.90232615,-4.735123991,-53.26993483,-35.27412564,12.25698017,-3398.243199,2337.026209,52.28066461,35.95424937,1.007904458,0.641654999,-190.5347979,0.004102278,6.150546887,4.343750774,0.647184101,53.52189592,1.016780938,53.03211496,88.97140151,35.78666773,-1.4855125,-0.25
0.119618941,0.506522352,220.4556089,2.002105253,1.276263846,52.97246641,88.39816773,-4.716073849,-53.79151427,-34.87163871,12.19108975,-3456.069506,2311.575332,53.17030009,35.56269741,1.014111061,0.646456165,-189.2354159,0.010452276,6.156896887,4.350100774,0.649387909,54.23664987,1.028582456,53.21270196,89.78791595,35.89194211,-1.4855125,0
0.117975378,0.506396111,213.8106546,2.03224029,1.277429411,53.00762815,89.52562326,-4.620355076,-54.16532268,-34.23460329,12.11365359,-3528.947395,2312.281991,54.29149838,35.57356909,1.029118579,0.646885285,-188.3008535,0.016801859,6.163246887,4.356450774,0.651238763,55.08513297,1.036077578,53.36436455,90.22254957,35.47987586,-1.4855125,0.25
0.119233491,0.506435943,214.2898652,2.061265772,1.287984708,53.44983208,90.81545871,-4.701495699,-55.10641667,-33.4910538,12.12019796,-3654.399341,2271.024686,56.22152832,34.93884132,1.043899075,0.65228175,-187.7474164,0.023152273,6.169596887,4.362800774,0.655091786,56.71052257,1.047263692,53.68009447,90.95242551,34.58729895,-1.4855125,0.5
0.120953717,0.506496493,220.4068571,2.056431255,1.294485716,53.72603707,89.71122702,-3.767656517,-55.17823311,-32.93573956,12.15472668,-3672.379606,2180.945204,56.49814779,33.55300314,1.041575218,0.655652475,-187.5412904,0.029502271,6.175946887,4.369150774,0.657345733,57.45103933,1.05412415,53.86478749,91.01596172,33.91039813,-1.4855125,0.75
0.120983583,0.506576759,221.1023732,2.040706864,1.302724819,54.07656202,88.82322101,-3.50695949,-55.01009072,-32.15895129,12.14477462,-3702.449861,2092.885218,56.9607671,32.19823412,1.03377467,0.659930117,-186.0718981,0.042201857,6.188646887,4.381850774,0.658185155,57.42809039,1.048004315,53.93357479,89.6715931,32.58298016,-1.4855125,1
0.117936578,0.507712623,214.9743155,2.002008646,1.251701179,52.07505466,89.45955686,-5.63619202,-52.72671116,-37.15485763,12.35189284,-3307.405639,2529.576089,50.88316367,38.91655521,1.016445061,0.635504488,-191.3493052,0.001220951,5.86125729,4.600563179,0.641323597,52.26273349,1.029158205,52.55188909,90.61161608,38.69384794,-1.1577925,-0.5
0.11870685,0.507618904,213.6405546,2.042194502,1.271944675,52.90748413,91.88240739,-6.403331549,-53.56679098,-36.93938541,12.27486416,-3414.268468,2580.868979,52.5272072,39.7056766,1.036656535,0.645663162,-190.3647686,0.007570951,5.86760729,4.606913179,0.646177086,53.50830491,1.048165844,52.94959659,92.54178022,39.38664907,-1.1577925,-0.25
0.117356656,0.507781457,208.1378105,2.069509235,1.265350086,52.65003168,92.277184,-5.624758769,-53.63545605,-36.66659071,12.27723371,-3432.835998,2588.061911,52.81286151,39.81633709,1.050858414,0.64252131,-188.5805803,0.013923023,5.87395729,4.613263179,0.646779485,53.93401483,1.056451227,52.9989587,92.99541421,39.41660618,-1.1577925,0
0.118850418,0.507871662,211.9673874,2.115184281,1.287191047,53.56832895,94.03208408,-5.445090142,-55.08720641,-35.52068506,12.26370651,-3617.488201,2517.965456,55.65366464,38.7379301,1.074242156,0.653727857,-186.8912218,0.026623021,5.88665729,4.625963179,0.653878541,56.39186583,1.083926481,53.58067647,94.54365748,38.51338595,-1.1577925,0.5
0.118309095,0.507711328,210.2566306,2.135462433,1.287529987,53.56551872,93.37512063,-3.953313292,-55.42733156,-34.33102316,12.4113666,-3684.288437,2408.253686,56.68136056,37.0500567,1.084198468,0.65369356,-186.0270902,0.039323019,5.89935729,4.638663179,0.656151271,57.30426796,1.089872584,53.76691064,94.13997586,37.19528783,-1.1577925,0.75
0.117100159,0.50794133,207.3778486,2.139969427,1.289942045,53.69017873,93.69232102,-4.046336615,-55.44809436,-33.9479466,12.45214477,-3717.400355,2395.837312,57.19077469,36.85903557,1.086978917,0.655214878,-184.6303815,0.045672357,5.905592841,4.645119628,0.658135759,57.64449601,1.089294634,53.92952408,93.67163972,36.38442519,-1.1577925,1
0.119951705,0.509065745,215.7986853,2.059594149,1.248234,52.06920969,93.11629939,-6.691445796,-53.31208579,-38.37107703,12.51375559,-3351.234784,2724.513793,51.55745822,41.91559681,1.048468829,0.635433171,-191.248977,0.004699098,5.578284992,4.863755999,0.641518936,52.97702016,1.064193718,52.56789469,94.48182672,41.86714446,-0.8303375,-0.5
0.119550509,0.509115911,211.7387878,2.08609006,1.256745581,52.42943324,94.31270745,-6.77269482,-53.33424867,-38.19885353,12.39888738,-3388.851023,2764.986157,52.13616958,42.53824857,1.062061641,0.639829171,-189.9674492,0.011049097,5.584634992,4.870105999,0.643910156,53.22986961,1.073960057,52.7638408,95.34230203,42.47842592,-0.8303375,-0.25
0.119013998,0.509198086,207.644849,2.131964668,1.272079948,53.07772459,95.60671086,-6.11990128,-54.22798865,-37.6214143,12.36000328,-3495.958955,2742.322266,53.78398393,42.18957333,1.085592329,0.647740675,-187.2023096,0.023749097,5.597334992,4.882805999,0.650553717,54.72134874,1.09549553,53.30823325,96.53194575,42.18130068,-0.8303375,0.25
0.119270337,0.509078925,209.2024075,2.141492489,1.281122528,53.44251579,95.62609458,-5.751460357,-54.61481544,-37.14975539,12.32021806,-3549.496273,2690.033252,54.60763497,41.38512696,1.090188693,0.652192479,-185.9495936,0.030099096,5.603684992,4.889155999,0.653877424,55.68023858,1.102586933,53.58058501,96.60045418,41.29097016,-0.8303375,0.5
0.11490422,0.508964801,200.4610724,2.208432427,1.282966361,53.50743514,96.83143109,-4.16093952,-55.87468695,-35.76106589,12.64762442,-3699.401103,2618.800191,56.91386312,40.2892337,1.124014372,0.652984719,-184.0027349,0.049149096,5.622734992,4.908205999,0.656903591,57.53720931,1.127815146,53.82855871,97.19168363,40.02765006,-0.8303375,1
0.119160373,0.510578028,217.6802385,2.107689321,1.241234842,51.93106277,95.38447113,-6.720597806,-54.10315502,-40.14100266,12.58839573,-3357.002624,2866.843463,51.64619422,44.10528404,1.076139857,0.633747238,-191.9716732,0.001835276,5.288939246,5.120620629,0.638246535,52.78869474,1.089991073,52.2997481,96.56501679,44.14823951,-0.50275,-1
0.121421825,0.510722629,217.1108968,2.145116311,1.251729422,52.38496826,97.8355818,-7.56887719,-54.33518043,-40.24500537,12.68212539,-3407.107425,2976.750572,52.4170373,45.79616265,1.095559443,0.639286542,-191.3008649,0.008185276,5.295289246,5.126970629,0.643093099,53.30757358,1.105638202,52.69688844,98.7117625,45.78540252,-0.50275,-0.5
0.118802246,0.510571122,207.0091963,2.182706779,1.262234339,52.80893009,99.01547782,-7.197955739,-54.06404624,-39.87253646,12.52167798,-3436.136997,3024.713699,52.86364611,46.53405691,1.11442705,0.644460403,-188.3811192,0.020885275,5.307989246,5.139670629,0.649666865,54.06847641,1.127370045,53.23556245,100.1905971,46.5092622,-0.50275,0
0.118908638,0.510688173,203.9681722,2.211647533,1.274546336,53.33625956,100.0990397,-7.04358037,-54.33967554,-39.84536665,12.53412278,-3489.720633,3041.847514,53.68800974,46.79765406,1.129462237,0.650895739,-187.3721047,0.027235275,5.314339246,5.146020629,0.652944311,54.43133792,1.139413553,53.50412538,100.886293,46.84484755,-0.50275,0.25
0.116593131,0.510615068,203.1129261,2.235471577,1.285585656,53.79052059,99.08297161,-4.998495907,-54.84091642,-38.89529564,12.6525657,-3543.088687,2922.117083,54.50905672,44.95564744,1.141465473,0.656439408,-184.8546419,0.046285624,5.333389246,5.165070629,0.65870196,55.22379429,1.15102892,53.97592056,99.81628302,44.97718577,-0.50275,0.75
0.11438989,0.510573661,199.3908528,2.249617956,1.287411082,53.86253106,99.35457519,-4.692617856,-55.4020302,-38.20980027,12.7500875,-3610.711942,2872.217103,55.54941449,44.18795544,1.148595676,0.65731819,-182.4485193,0.052635275,5.339739246,5.171420629,0.657980153,56.22095553,1.156552925,53.91677426,99.78928433,43.95290398,-0.50275,1
0.12304683,0.512879767,221.1063979,2.165853602,1.244027385,52.28253244,98.38712555,-6.892022687,-55.63376734,-40.28581473,12.56220588,-3476.091666,2943.797642,53.47833332,45.28919449,1.110822491,0.638036476,-192.0147241,0.002254102,5.005929301,5.383848465,0.641245483,54.34750752,1.122915388,52.54548763,99.46777393,45.50520423,-0.1751625,-1
0.123860893,0.512804279,218.5590447,2.191632045,1.246140658,52.36363942,100.6185023,-8.063778354,-55.16120702,-40.74383392,12.73695223,-3476.479251,3089.085421,53.48429617,47.52439109,1.123878291,0.639026261,-190.8356713,0.008604095,5.012279301,5.390198465,0.642081644,54.49234393,1.135642624,52.6140062,101.6578496,47.56009503,-0.1751625,-0.5
0.12287954,0.512737084,214.8071208,2.215407816,1.250739279,52.54999036,101.9565305,-8.40589637,-54.95697093,-41.14603536,12.64047149,-3465.964208,3186.94904,53.32252627,49.02998524,1.135921744,0.641300411,-189.0143838,0.014954099,5.018629301,5.396548465,0.644778148,54.29961999,1.14695298,52.83496607,103.0119949,49.11282768,-0.1751625,-0.25
0.121244847,0.512800985,205.6613382,2.205718044,1.269669016,53.35197225,100.6559484,-7.493689305,-54.87667214,-40.21754263,12.46246856,-3524.897688,3043.034222,54.2291952,46.81591111,1.131094386,0.651087523,-187.581173,0.027654108,5.031329301,5.409248465,0.651066156,55.34946713,1.159884321,53.35022138,103.1638042,48.21477745,-0.1751625,0.25
0.119466899,0.512841943,201.3203075,2.180887855,1.269934927,53.36741072,98.95271705,-6.816130467,-53.93547864,-39.8216713,12.37432394,-3466.273703,2990.441163,53.32728773,46.00678713,1.118450765,0.651275896,-187.4061575,0.034004089,5.037679301,5.415598465,0.655718428,54.62831963,1.136678904,53.73144453,100.491213,46.25075871,-0.1751625,0.5
0.119475883,0.512734805,203.5699814,2.211852487,1.283429417,53.92322902,99.00328646,-5.543519141,-54.40389027,-39.4640975,12.49540661,-3508.662143,2951.327755,53.97941759,45.40504239,1.134093753,0.658058932,-184.6147931,0.046704098,5.050379301,5.428298465,0.661331166,54.80975601,1.144614714,54.19136529,99.85166761,45.42658798,-0.1751625,0.75
0.116768089,0.512571647,200.4037628,2.22824268,1.278973835,53.71893073,99.09665253,-4.965506391,-55.12904102,-38.80889841,12.6268407,-3575.233232,2890.867867,55.00358819,44.47489026,1.142134021,0.655565725,-182.6691512,0.053054102,5.056729301,5.434648465,0.65788896,55.58715912,1.150479192,53.9093032,99.75699135,44.55441078,-0.1751625,1
0.126241534,0.516390414,214.1765346,2.251321176,1.254798728,53.09618936,104.3385901,-8.628019156,-55.22350514,-42.1961048,14.18231011,-3489.68997,3318.721529,53.68753801,51.05725429,1.162560675,0.647966035,-187.6307075,0.012796101,4.741964409,5.666130901,0.650416969,54.87922386,1.183714372,53.29702591,106.194144,51.72923473,0.152425,0
0.120736547,0.516270815,201.1722476,2.251017457,1.256589506,53.15965022,103.4271346,-7.754869536,-55.27888865,-41.13407007,12.60378392,-3535.609184,3213.27787,54.39398744,49.43504416,1.162134616,0.648740488,-186.082816,0.019146086,4.748314409,5.672480901,0.651687033,55.6145968,1.180307879,53.40109855,105.1834051,49.97828919,0.152425,0.25
0.119191061,0.516447467,197.3733323,2.256431164,1.2564034,53.16996466,102.8810707,-6.941894325,-55.07784411,-40.97389793,12.70125299,-3526.44443,3186.772695,54.25299123,49.02727222,1.165328159,0.648866354,-186.2734334,0.02549609,4.754664409,5.678830901,0.653279834,55.56188945,1.179253938,53.53161789,104.316336,49.15973597,0.152425,0.5
0.118639385,0.516287746,196.8560488,2.251507643,1.278944668,54.10715559,101.4201123,-5.682491374,-55.12009089,-40.83054384,12.68251012,-3512.222348,3105.538521,54.03418996,47.77751571,1.162425807,0.66030346,-182.7567294,0.038196097,4.767364409,5.691530901,0.663178955,54.68856803,1.17056489,54.34278181,102.0708661,47.77654104,0.152425,0.75
0.12494086,0.522612541,210.9993094,2.340919759,1.231947346,52.75736216,109.4495911,-8.798965323,-56.8503437,-43.15183692,14.40306521,-3612.008952,3530.122866,55.56936849,54.30958256,1.223394022,0.643831132,-188.492517,0.002505337,4.458953822,5.929359334,0.6463585,56.17804047,1.231959942,52.96446187,110.1556885,54.40995195,0.4800125,0
0.124501007,0.522679003,206.2009844,2.323935542,1.242543793,53.21791683,108.1575259,-8.213316355,-55.8748495,-43.86873342,14.52684023,-3512.290353,3545.448449,54.03523619,54.54536076,1.214672313,0.649451551,-187.5410031,0.008860734,4.465303822,5.935709334,0.651837871,54.87393354,1.227631177,53.41345873,109.2579974,54.81186481,0.4800125,0.25
0.121365251,0.522529668,200.4037628,2.329586324,1.245208391,53.31680483,107.7097268,-7.551515763,-55.93454849,-43.41333651,14.41123712,-3538.260989,3490.222544,54.43478445,53.69573144,1.217277968,0.650658327,-185.8035273,0.015210768,4.471653822,5.942059334,0.653104984,55.21054921,1.227673615,53.51729086,108.602881,53.81687683,0.4800125,0.5
0.114034937,0.529090793,180.9574611,2.347523607,1.227392162,53.21384761,108.1792719,-6.035343007,-56.09081042,-43.79444764,14.68067389,-3507.330673,3551.738805,53.95893343,54.64213546,1.242053126,0.649401892,-180.5522707,0.02397816,4.207706791,6.224325159,0.651844111,54.44677983,1.249143281,53.41397001,108.7408632,54.71812188,0.8076,1
