Mass Flow of Radiator,Frontal Area,Radiator dP,Cl,Cd,Raw Drag,Raw Downforce,Sidepod Downforce,Rear Wing Downforce,Front Wing Downforce,Cp,Front Wheel Axle Moment,Rear Wheel Axle Moment,Rear Axle Downforce,Front Axle Downforce,ClA,CdA,DifferentialPressure,signedDistance,Front Rideheight,Rear Rideheight,CdA Mean,Front Axle Downforce Mean,ClA Mean,Raw Drag Mean,Raw Downforce Mean,Rear Axle Downforce Mean,CP Z-Axis,CP X-Axis,Rideheight,Chassis Angle,Chassis Heave,FA-RA Difference
0.075226377,22.70267343,137.6783854,0.059336617,0.032662388,60.76255462,110.3852057,17.84126662,68.68987837,37.5971504,14.13141358,-3814.502296,3387.87426,58.68465071,52.12114245,1.347099832,0.74152352,-180.4927032,-0.008436762,4.403,3.60033161,0.749309755,52.4026913,1.366172262,61.40058094,111.9480551,59.97220159,324.2101127,-1317.048983,1.1429999999999998,-1.3,-0.547,-7.569510289999997
0.078416197,22.70262548,143.6955582,0.061395546,0.032676371,60.78844681,114.2152392,19.90675064,68.73009337,37.54520986,13.97306099,-3928.538127,3523.913259,60.43904811,54.21405013,1.393840086,0.741839417,-179.9367573,-0.008436011,4.546,3.74333161,0.752753805,54.53035069,1.414229487,61.68280301,115.8860053,61.79992169,327.8018337,-1316.877228,1.286,-1.3,-0.404,-7.269570999999999
0.079564533,22.70492715,146.8665532,0.062198396,0.032558013,60.57440238,115.7205316,20.6191295,68.71399003,37.41452469,13.84028995,-3974.485565,3576.269853,61.14593177,55.0195362,1.412210051,0.73922731,-179.1821468,-0.006981017,4.69,3.88733161,0.751888462,55.271294,1.435711225,61.61189347,117.6462852,62.82730733,331.4523061,-1316.848269,1.43,-1.3,-0.26,-7.556013329999999
0.080668476,22.71010749,147.7066264,0.062881764,0.032743676,60.93372562,117.018626,20.8521073,69.15186063,36.90892545,15.44428813,-4062.314605,3573.169063,62.49714777,54.97183173,1.428051623,0.743612404,-178.399922,-0.000377,4.95,4.14733161,0.756138929,55.01659409,1.449124929,61.96018493,118.7454331,64.18568956,338.0520682,-1316.903021,1.69,-1.3,0.0,-9.169095470000002
0.08090467,22.70251152,149.5727527,0.063108193,0.033016364,61.4206296,117.4007204,20.55366265,69.37322536,36.62187986,15.26588541,-4100.45448,3559.937278,63.08391507,54.76826581,1.432714484,0.749554383,-178.3280645,0.003686428,5.11,4.30733161,0.760886362,54.89735412,1.456071954,62.3492043,119.3146983,64.87627394,342.1029543,-1316.916677,1.8499999999999999,-1.3,0.16,-9.978919820000002
0.081036785,22.70250558,151.5215583,0.063001119,0.033037612,61.46014257,117.2014955,20.05364951,69.4085805,36.37806755,13.51611907,-4118.616977,3528.763833,63.36333811,54.28867435,1.430283267,0.750036568,-178.2423384,0.00749536,5.26,4.45733161,0.762572106,54.46257829,1.460506749,62.4873405,119.6780945,65.67592258,345.9192353,-1316.97152,2.0,-1.3,0.31,-11.213344290000002
0.075935766,22.70250528,131.9122676,0.072219284,0.033543674,62.40157408,134.3501126,21.90969933,71.32974296,45.51585275,14.02125534,-4124.971647,4642.01657,63.46110226,71.41563954,1.639558687,0.761525434,-176.5825933,-0.006482138,4.26,5.04,0.763437027,72.25364468,1.652883452,62.5582156,135.4419821,63.71969313,328.6231804,-1314.603028,1.0,0.0,-0.69,8.53395154999999
0.073460016,22.70252666,129.2174872,0.074234443,0.033925375,63.11171554,138.0990767,19.61856044,72.83689324,46.68023687,13.18139147,-4128.254995,4883.455223,63.51161531,75.13008036,1.685309419,0.770191732,-170.0278065,0.009661271,5.26,6.718160037,0.773127469,76.78999521,1.706577448,63.35227828,139.84184,63.6020136,357.4257483,-1313.906884,2.0,0.557,0.31,13.187981610000001
0.060724224,22.70518218,93.87884136,0.075461467,0.033552092,62.4245958,140.3980519,19.43092839,71.6794414,50.54126854,13.41009387,-3947.125298,5214.7461,60.72500459,80.22686308,1.713366351,0.761806352,-167.4099913,-0.008436418,4.69,7.05266839,0.770522101,80.79938726,1.74794136,63.1387891,143.2312308,62.99755928,347.1274182,-1312.551233,1.43,1.3,-0.26,17.801827980000006
0.074629293,22.70251226,119.3071662,0.080714339,0.034325979,63.8569176,150.1535842,21.22385401,71.28999666,56.25198975,13.53251739,-3793.240353,6005.476732,58.35754389,92.39194973,1.832418269,0.779285955,-165.2901584,-0.008431265,4.95,7.31266839,0.78462038,95.0029793,1.870676669,64.29403567,153.288587,58.89510026,354.0823258,-1312.563244,1.69,1.3,0.0,36.10787904000001
0.071143327,22.70252565,112.0313064,0.071484324,0.033367266,62.07345205,132.9829849,19.15468518,71.75080581,41.6125936,13.95588379,-4348.458177,4329.298007,66.89935657,66.60458472,1.622874709,0.75752121,-169.265417,-0.008439239,4.403,6.76566839,0.767297006,67.6350971,1.648823833,62.8745087,135.1093303,68.00376701,338.2297462,-1312.189077,1.1429999999999998,1.3,-0.547,-0.36866991000000837
0.06804755,22.7025251,109.9244432,0.078327439,0.033974261,63.20265068,145.7132975,19.88123829,71.69137022,53.01575126,13.58581238,-3955.412919,5553.442202,60.85250645,85.43757233,1.778230656,0.771301508,-165.9356722,-0.008433796,4.832,7.19466839,0.779685484,88.1886983,1.822971628,63.88965766,149.379501,61.78324815,350.9289228,-1312.4946,1.572,1.3,-0.118,26.40545015
0.066948159,22.70292667,108.8298087,0.065158362,0.033538541,62.3931818,121.2168771,17.62925341,71.96099767,31.34407965,14.55204776,-4674.947966,3234.542472,71.9222764,49.76219188,1.479285508,0.761423041,-170.1986917,-0.008439216,4.26,6.62266839,0.766460109,50.82184647,1.511173363,62.80593359,123.8298594,73.48688546,334.4871693,-1312.171682,1.0,1.3,-0.69,-22.66503899
