,Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Sidepod DF,Rear Wing DF,Front Wing DF,Unnamed: 16,RW 3rd Element AOA,RW 3rd Element X,RW 3rd Element Z,RW 2nd Element AOA,RW 2nd Element X,RW 2nd Element Z,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,RW Biplane1 Element AOA,RW Biplane1 Element X,RW Biplane1 Element Z,RW Biplane2 Element AOA,RW Biplane2 Element X,RW Biplane2 Element Z,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,FW Biplane Element AOA,FW Biplane Element Z,Diffuser_Angle1,Expansion_Point1,Gurney_Height1,Intake_Length1,Outlet_Length1,Sidepod_Width1,Strake_Offset1,Generation
0,21734164.0,146.5520245747217,-3522.7238930924204,57.283730401672,5489.648641466703,89.26829417267457,0.5513716496103298,6.487334366552972,3.576932251260096,62.7662858946465,2.778439156516869,1.5319525810706394,0.0,17.2137659430193,57.80050102099781,61.90273785800718,,13.5067,121.9061,-29.9851,2.6214,116.4015,-8.9553,24.2703,43.5692,-36.3853,4.5332,27.0937,-38.5502,4.3429,-8.4286,-24.1122,13.6161,-11.7358,10.5203,-3.745,-10.5593,-2.0941,-8.11,-12.8106,-1.8866,42.3253,8.1435,14.7084,13.7887,15.9873,0.4827,0.2156,0.132,0.6222,0.579,0.2243,1
0,18606356.0,127.6008873502708,-3573.2492274920774,58.105333150578765,4273.70297858007,69.49555419936527,0.5165776395992435,6.028884359494209,3.114386851844316,55.09186342314941,2.602979341479569,1.3446409241471091,0.0,12.906269207918868,57.98429769035471,50.80689825456314,,-8.5784,4.0315,-36.1401,-7.3075,12.8013,-13.4928,12.7934,19.8278,-38.1897,7.7524,-96.3936,-30.7929,-7.9546,-111.7909,-26.1635,12.6428,-1.2383,8.8996,-4.6848,-10.3864,0.7001,-8.8228,-10.0582,-5.4907,69.5523,-12.0325,13.1591,1.8347,15.9099,0.4218,0.202,0.0744,0.5609,0.5221,0.206,1
0,18698821.0,132.72261403995685,-3181.634447447949,51.7372054851247,4980.283785750698,80.98540855449232,0.5252824469980693,6.166956889186359,3.2393942052834115,58.98226665927339,2.7406112993278344,1.439595009581483,0.0,13.345316294204755,51.10397088360092,58.85378837927311,,-2.6265,76.5687,-12.4232,-6.7028,43.6958,-7.3202,25.9291,108.6364,-18.9686,5.4499,-73.5427,4.1818,6.0847,-243.6217,-31.6267,6.118,3.5318,8.1612,-4.0255,-10.4101,-4.0202,-2.574,-15.2584,-0.3138,-11.6947,-1.0442,4.334,9.2008,6.8306,0.5955,0.239,0.1453,0.6673,0.6415,0.1755,1
0,20599339.0,132.0512826393319,-3011.688342945273,48.9736772812155,5108.945652153368,83.07760535777813,0.5212937811016518,6.182711236511452,3.2230089179407235,54.4080382366523,2.5474132673217995,1.3279506941506938,0.0,13.375889671671176,54.9409135940252,57.952822480367736,,12.9225,68.5609,-49.5296,9.4441,118.3381,-0.2815,8.3008,71.5566,13.5907,9.5214,-83.3007,-9.3209,5.6235,-266.2744,-17.0947,8.1584,9.6172,11.9332,-4.7276,-10.3944,-5.8149,-1.4382,-15.7643,-9.6538,50.2134,6.5792,5.3026,14.3097,15.6555,0.4121,0.0894,0.0623,0.6161,0.5369,0.1699,1
0,17263895.0,134.05676092659402,-5113.346323622885,83.14916557245759,3130.6166905542896,50.90759535379279,0.5170058456741065,6.32866581939207,3.271957223943609,60.71923145192634,2.866485226209361,1.481989618488703,0.0,22.256730029229885,69.87428696377309,39.34934643975366,,7.0001,104.6902,23.4176,7.7846,25.0852,-15.9216,11.0239,0.327,-32.0519,6.0037,-32.5317,-16.979,-8.0039,9.2013,-24.211,5.0911,-14.1551,14.062,-4.0432,-10.4783,-4.043,2.7552,-7.0654,6.8669,63.3748,-14.3511,11.9823,9.0125,15.9713,0.5567,0.2189,0.0945,0.6354,0.5782,0.1759,1
0,22200467.0,126.48004934582625,-3833.253221438177,62.33331102922303,3944.771860111073,64.14673831627951,0.547809706751205,5.635224044196484,3.0870304311286154,60.95195690503432,2.715668873222272,1.487669769073268,0.0,8.162657438437328,59.090686472944064,51.72693796685285,,11.6821,64.9991,-1.7716,6.1264,-3.6491,-37.4566,21.3319,58.3279,-31.6133,8.5219,-243.6823,19.1365,5.7692,-210.7855,2.9413,6.4754,6.1657,8.8577,-3.6031,-10.5798,-0.8955,8.2397,-11.2301,-6.0784,-23.6656,-4.0299,-3.6653,13.542,5.1259,0.5759,0.0702,0.0855,0.5683,0.6763,0.2269,1
0,13237844.0,140.2154588008489,-3668.764170257802,59.65852108036562,4953.934516330948,80.55693772012415,0.5515251727480553,6.205109193693549,3.422273919972381,264.8588345384681,11.721089837603966,6.464476097480003,0.0,19.71934899854954,32.643838332979726,56.02182200224241,,-8.6349,68.7017,-18.5403,21.3377,35.5823,-16.9349,29.3529,115.8099,-31.3529,8.8573,-133.9713,7.6884,-0.5311,20.45,-36.2965,11.9611,12.3468,8.6528,-3.8292,-10.4912,-7.811,1.9007,-2.9724,-2.8437,-11.2911,-19.9579,11.7778,11.1944,10.4346,0.449,0.1519,0.139,0.6931,0.6112,0.1948,1
0,15043725.0,145.977907741612,-4252.970411998302,69.15841771332573,4724.096197628297,76.81949002791275,0.5425131426219226,6.567434254396062,3.5629193963152708,239.03444812248,10.7539767274849,5.834173710110853,0.0,18.758723056686435,52.40809960492716,56.47877486998628,,-8.804,148.7475,-48.5332,11.3712,-4.7359,-13.0894,17.0757,72.4043,-43.9586,3.2204,-248.5591,-3.4157,-6.3718,-264.0921,-30.4592,6.0635,-1.141,12.676,-4.2351,-10.4787,-7.2478,-2.8474,-11.3765,-11.8633,-21.2259,-19.8661,3.8766,10.6301,17.5483,0.4283,0.1463,0.1103,0.5976,0.6545,0.2194,1
0,22266827.0,141.78210661231853,-3508.215049653234,57.047799144714816,5210.826309432814,84.73430746724085,0.5267446147497631,6.569619208339972,3.460511538949682,55.89607098455832,2.590001731424295,1.3642694642203097,0.0,13.869848195264217,59.042200322565385,60.35602210089504,,-0.3244,133.4469,9.7431,-1.4655,83.8944,-42.5531,15.7946,-6.3294,-35.0825,13.8901,-230.7029,1.4052,3.2856,-136.3642,-19.238,12.2268,-5.9081,16.1562,-3.7195,-10.2698,2.0025,6.8478,-4.8463,7.8161,37.9859,-15.8724,-2.9341,5.4193,13.2301,0.4441,0.074,0.1372,0.5255,0.6766,0.2188,1
0,23691723.0,141.33613104872248,-3105.204068872259,50.49435553897574,5586.411548862871,90.8417755093848,0.5052748874602282,6.827227234530474,3.44962647259279,54.40236362287666,2.6279005643708726,1.3278121619191627,0.0,14.413951591440332,56.41125872893231,63.62061008799815,,-5.7817,88.7507,-29.1851,-0.5848,21.5698,-20.1105,9.0245,13.6275,4.076,12.2499,-216.0717,-18.7008,6.3863,2.2018,-47.6597,9.4916,-9.6877,10.6881,-3.7096,-10.4211,-3.155,7.0361,-14.428,-13.5656,38.6501,-6.5485,13.5798,8.4177,13.0094,0.4373,0.2041,0.0798,0.5978,0.6079,0.1917,1
0,19208195.0,127.6492038848094,-2483.15167644544,40.37903494477153,5366.771806278146,87.2701689397109,0.5678452072138566,5.4866469207303545,3.115566157611396,53.77288657091837,2.3112783593178485,1.3124483388757462,0.0,10.97950071454336,45.82627456840296,59.95377599822133,,-2.9063,145.3718,-49.4319,14.7593,100.7933,-6.1659,21.5956,95.9344,-3.3182,11.0111,-25.2197,15.9284,-2.1174,-99.984,-0.7297,8.1408,-4.6312,14.2803,-3.4111,-10.2439,3.7908,-6.0394,-4.7926,-2.4387,48.2877,3.3938,4.1348,6.9723,9.3829,0.4393,0.2431,0.126,0.546,0.671,0.1791,1
0,23285630.0,113.1641940528149,-1679.6915719161516,27.313806612058865,5279.460833768346,85.8503874404664,0.5171495113238731,5.340867538102936,2.7620270373754705,45.11654582221431,2.1293086300843425,1.1011709175058233,0.0,11.950934797929508,34.51003723775002,60.11210308826652,,5.1381,4.5318,-48.4516,23.4457,74.7881,0.1808,5.9497,6.468,16.9501,3.403,21.9497,1.751,-9.0915,-232.5534,12.1204,10.7371,16.1908,13.1174,-4.5843,-10.2582,-2.7874,0.2965,-13.6817,-4.1512,40.6942,-11.5655,2.6341,13.4371,16.0231,0.4905,0.2259,0.0684,0.6725,0.5871,0.1615,1
0,19137254.0,139.69819929776983,-3298.0842409829206,53.63081928530584,5292.805022622312,86.06738001210633,0.5188316723019086,6.571782666079812,3.4096489906468843,56.187373502261686,2.6432066346656926,1.3713793185031014,0.0,12.48567302992242,60.00198008728912,61.912635460549765,,-1.911,105.8102,16.6399,-1.8112,-0.4506,-31.3579,11.8366,49.9793,-14.741,9.9773,-241.3548,2.2008,-9.5643,51.4047,-36.9822,10.7804,4.0048,7.0781,-2.9748,-10.4336,-5.9544,0.1016,-10.0578,-2.5411,57.3746,-16.5881,10.3309,1.7749,7.4879,0.5407,0.2303,0.0682,0.6303,0.6092,0.1897,1
0,16446486.0,160.83894290461254,-5332.516938051845,86.71314355368278,4558.444826055244,74.12579935051824,0.5094683249939901,7.705359504258557,3.925636600111129,413.89307767146926,19.82849987813008,10.10199262005447,0.0,18.92732374858752,45.9431535503642,54.18230387837267,,4.5118,10.9854,-36.228,-6.2509,92.8319,-7.8258,1.0446,7.0671,-34.7702,6.0001,-143.3999,4.9842,-5.1233,-97.3917,19.5817,10.8054,-3.7435,16.2049,-3.6027,-10.2665,-0.1646,-0.3882,-14.3342,2.7438,8.604,-4.5351,10.2267,3.7235,15.5805,0.519,0.1007,0.1286,0.6416,0.6111,0.1744,1
0,15904146.0,109.63264701897027,-2514.756195738426,40.892962467221935,4227.219971100609,68.73968455146765,0.5224407481014077,5.121789514676529,2.6758315456655515,50.43796046297727,2.356347530277598,1.2310519665051327,0.0,15.143067251741153,39.69718809383629,48.31528931613843,,13.7173,68.3121,-3.1862,22.6115,47.6752,11.2088,9.2815,71.0051,2.2949,10.1845,-68.9116,-32.262,-0.9543,-165.8971,15.0987,13.2918,14.7974,14.0883,-2.8985,-10.3407,-0.1428,-5.796,-10.5178,-10.1065,74.0735,-1.8168,3.048,14.3746,10.3185,0.4479,0.2292,0.1157,0.6312,0.5834,0.1756,1
0,17078802.0,153.26717514037293,-4385.172923765776,71.30818967171328,5040.154932965963,81.95898546826722,0.5339874731551169,7.00546515202781,3.7408306348075566,63.702835825365405,2.911699756005957,1.554811195295991,0.0,12.937340994035626,69.9222312875004,61.40394175304144,,7.3398,42.9234,0.2977,6.5326,8.4329,7.7125,16.2272,3.6515,-33.1705,4.5837,-143.0264,16.3275,-0.4476,-185.804,-6.7164,6.9017,5.0356,15.2893,-3.0503,-10.5681,0.3434,-4.585,0.1255,3.8717,-9.3192,-8.2438,-3.2842,6.5375,6.1024,0.5157,0.1155,0.0949,0.5707,0.5637,0.1867,1
0,21452539.0,136.69915279723276,-3760.3195704175378,61.14732208173036,4646.14014068073,75.55183071515245,0.5158655854880645,6.467674406779483,3.336450644599468,57.571250041365445,2.723880088789981,1.4051559968029246,0.0,11.390021866067991,64.21920230260142,56.1209488765809,,-6.3288,124.6562,4.8343,5.1037,102.7525,-40.0772,3.2034,49.3388,-36.5476,1.7439,-140.1284,-42.6704,2.6513,-87.0339,-44.0597,13.5991,-9.9895,12.1268,-4.4657,-10.4018,-0.9877,-4.7822,-8.9305,-6.5597,-15.7883,7.028,-0.9038,7.1316,5.4384,0.5552,0.2469,0.0734,0.6928,0.5926,0.2098,1
0,12328565.0,149.98043908153394,-4321.110123725681,70.26645143799335,4902.096405300199,79.71398764315668,0.5441914939542708,6.72669509078304,3.660610250828082,401.50932688708406,18.00788712591178,9.799738998009811,0.0,18.30506775811356,34.99028514118326,56.41926317152935,,13.3606,95.2335,-35.8485,14.5611,119.3064,5.7902,20.2779,85.5503,48.5739,13.2625,-66.7415,11.1397,6.584,-227.5975,-12.1825,12.2517,25.632,12.9928,-3.9907,-10.2707,-3.0243,3.5656,-13.549,-3.8284,55.3406,7.7524,13.2975,14.7525,15.9376,0.4827,0.2156,0.132,0.6222,0.579,0.2243,1
0,20122887.0,117.58773221302802,-2215.257717947709,36.02275674626949,5015.924869075914,81.5649754664574,0.5463128237530993,5.253388177796822,2.869993329683331,53.50370409731741,2.3903490719931164,1.3058783512761598,0.0,14.508579396362896,37.79834795023312,56.17856582453301,,13.8627,92.9654,14.0723,36.4047,79.2893,24.1945,19.6238,83.6257,27.205,14.0839,-55.6629,-28.2124,2.7008,-144.1664,40.3504,13.5156,33.1053,16.5502,-2.3144,-10.1899,1.2036,-4.1994,-8.9357,-4.4348,93.059,5.0558,12.1664,14.8328,14.7515,0.4799,0.2417,0.1307,0.6395,0.5875,0.2204,1
0,19371678.0,163.01560096440966,-4196.707251421904,68.24351100481978,5828.110413838138,94.77208995917242,0.5514341613333277,7.215299621339162,3.9787626954618376,66.78020053543788,2.9557855370020425,1.6299211186779008,0.0,18.292355724402785,70.25299422105073,66.59332209875521,,5.5725,125.7563,24.3332,6.593,108.2121,-22.649,15.8435,51.6467,-36.4567,3.4175,-120.0618,-40.3631,3.6663,-77.6013,-32.8891,13.6093,-8.9417,13.0906,-4.0333,-10.3073,-0.3239,-2.7855,-6.6024,-3.7558,14.4308,7.6973,9.7125,11.6584,12.6117,0.6132,0.2719,0.1203,0.7493,0.6035,0.2214,1
0,16684312.0,169.1290561955749,-5406.007646949479,87.90819093272226,4994.763446292855,81.22086526241971,0.5305918472728811,7.779945172484562,4.127975480750318,372.7678526789925,17.147340150433852,9.09823888623514,0.0,21.344989546261807,53.82965880563147,57.79719642207501,,4.3639,98.2514,22.073,-3.6549,69.0402,-30.5424,19.1627,128.0265,33.7443,7.5743,-219.6057,16.6462,-2.8851,-57.2037,-35.3575,9.0171,18.8349,12.1278,-3.9277,-10.5155,-1.5721,11.9941,0.909,7.2342,39.5724,8.0067,12.2591,13.7309,13.3052,0.4791,0.1775,0.1263,0.6371,0.5727,0.2039,2
0,25357721.0,108.17514295546567,-1474.867037689641,23.983113161662,5177.478367451935,84.19202979352673,0.5431219141681971,4.861261939756813,2.640257889993723,48.89248703954876,2.1971700696828385,1.1933312139992145,0.0,12.612159685400965,31.171281019949927,58.137476375867,,15.5242,61.9731,-20.6095,23.7658,126.0239,-15.3026,15.0804,173.2807,15.4159,15.3357,-204.9329,-1.8052,7.4061,39.5463,-25.1119,12.1366,-11.7407,13.9271,-3.4549,-10.4697,-2.9821,15.3216,-8.593,-6.2331,5.2848,7.4189,4.3927,12.8491,18.282,0.5962,0.242,0.1189,0.593,0.5617,0.2179,2
0,21874007.0,127.72460002395806,-2921.120791892252,47.50093989528697,4933.4392565536255,80.22366012834397,0.5395841250918797,5.777424118814039,3.1174063384349973,58.46345598651844,2.6445037261606417,1.4269322293826057,0.0,13.0093376491512,48.6541007929821,57.24822380137507,,-2.4534,78.2864,-36.4928,-5.406,69.076,-17.0741,30.3074,161.1406,7.7593,8.8814,11.8941,-5.7098,1.0586,-191.7175,-41.9512,12.5014,-7.0176,16.2175,-4.3214,-10.5377,1.2533,13.5147,2.2509,-4.2894,55.9863,-0.0732,8.8723,11.1756,15.183,0.5464,0.138,0.0972,0.592,0.5749,0.1874,2
0,22507488.0,156.66623453110486,-4594.462882488418,74.71149629893814,5039.893744642529,81.95473823176566,0.5415983832338771,7.060198642147066,3.8237921698968655,65.61511466514548,2.956959710238063,1.601484598352649,0.0,18.0034388578625,72.96364763885313,59.165882317824185,,8.1713,106.7561,32.3893,8.714,36.0431,-14.7513,13.4083,5.5161,-31.3239,6.2684,-30.3852,-13.3551,-5.7815,9.836,-24.1944,6.6256,-13.7196,14.6995,-3.9896,-10.4637,-3.6922,4.7109,-6.0313,8.4426,66.6585,-10.302,12.5384,9.9868,15.9746,0.5744,0.2197,0.1035,0.6385,0.5784,0.1875,2
0,19060117.0,111.45348904972904,-1660.0355737724406,26.99417642456447,5193.915209284967,84.45931262487908,0.5230722333277742,5.200569034027066,2.720273259203803,45.51881470739224,2.1239688434272077,1.1109891264500789,0.0,13.208339311775667,33.072586867339744,59.0446069470017,,6.3934,16.2693,-45.8663,26.5693,78.9494,1.4598,8.6978,10.1781,24.417,3.5726,22.104,7.3932,-7.0764,-225.8297,17.1929,11.169,20.3797,13.5069,-4.4584,-10.213,-2.6834,1.5574,-13.551,-3.8115,40.9063,-8.6092,4.6868,13.4969,16.0292,0.4921,0.228,0.0811,0.6826,0.5887,0.1741,2
0,21167349.0,123.2521372554428,-2363.5154869494327,38.43360651116343,5216.005709363395,84.8185307439636,0.5712714263643874,5.265878405735612,3.00824586790601,53.09629856169085,2.268509562970289,1.2959346937592902,0.0,12.81766942122615,42.47364147254196,58.02994860100513,,-0.9367,147.2491,-47.2539,16.2159,102.0419,-5.8535,21.9166,100.1237,0.3853,11.7885,-23.9642,22.03,-1.3422,-97.7867,1.8892,8.7978,-3.7786,14.7315,-3.3711,-10.2061,4.4969,-5.7909,-3.8304,-2.3725,48.9078,3.9638,5.5728,7.8993,10.2811,0.4463,0.2475,0.127,0.5582,0.6858,0.1863,2
0,21298317.0,133.51075290301569,-3455.4017754246047,56.18899174045737,4754.983894941573,77.32176116221642,0.5228707788900323,6.232191087000424,3.258630607851429,56.64859518304269,2.6443178718894,1.382636545307643,0.0,12.563222429601884,60.13995551152888,56.65622682593272,,-0.5234,106.776,20.5564,-1.4122,6.5606,-29.4761,12.9556,50.3639,-12.9229,10.4672,-236.5227,5.6239,-8.3126,52.4817,-35.9011,11.0356,5.4214,7.3879,-2.9055,-10.4223,-5.6069,0.8407,-9.8101,-2.4822,58.5484,-14.3622,10.7774,3.0003,8.3549,0.5477,0.2321,0.0758,0.6312,0.6128,0.1939,2
0,24598433.0,135.21941288205204,-3186.036090899092,51.808781505395245,5129.425441166391,83.41063137631039,0.506556932793822,6.515228738876385,3.300334286415383,54.354895529711385,2.6189625432163397,1.3266536329935763,0.0,14.892990478751782,54.58262672489828,58.5532619142997,,-4.6244,90.0769,-29.1403,-0.3924,25.3631,-19.4858,9.9393,14.8251,6.3418,12.7129,-213.1537,-17.5892,6.5089,2.3294,-46.3411,9.7391,-9.5648,10.6982,-3.7075,-10.4128,-3.0913,7.9448,-14.3309,-12.8649,38.8412,-5.667,13.6565,8.7829,13.2119,0.4409,0.205,0.0839,0.5997,0.6102,0.1943,2
0,21734164.0,146.5520245747217,-3522.7238930924204,57.283730401672,5489.648641466703,89.26829417267457,0.5513716496103298,6.487334366552972,3.576932251260096,62.7662858946465,2.778439156516869,1.5319525810706394,0.0,17.2137659430193,57.80050102099781,61.90273785800718,,13.5067,121.9061,-29.9851,2.6214,116.4015,-8.9553,24.2703,43.5692,-36.3853,4.5332,27.0937,-38.5502,4.3429,-8.4286,-24.1122,13.6161,-11.7358,10.5203,-3.745,-10.5593,-2.0941,-8.11,-12.8106,-1.8866,42.3253,8.1435,14.7084,13.7887,15.9873,0.4827,0.2156,0.132,0.6222,0.579,0.2243,2
